event,home,away,campaign
17123,CA19938,no opponent ID given,2017Week50Basketball
17124,CA19938,no opponent ID given,2017Week50Basketball
12518,CO16389,CO16343,2017Week50Basketball
12601,CA23013,CA22879,2017Week50Basketball
12586,CA23013,CA22954,2017Week50Basketball
13344,GA51112,GA4970,2017Week50Basketball
12689,FL17955,FL69062,2017Week50Boys Basketball
12687,FL17955,no opponent ID given,2017Week50Boys Basketball
13447,CA22869,CA22955,2017Week50Boys Basketball
12712,FL17955,FL17957,2017Week50Girls Basketball
13389,GA5246,GA25509,2017Week50Basketball
15840,FL25551,FL12919,2017Week50Basketball
13080,NC1303,NC1162,2017Week50Boys Basketball
13488,VA24948,VA67975,2017Week50Basketball
19196,SC1599,no opponent ID given,2017Week50Basketball
13575,no home team id given,NC1860,2017Week50Basketball
13487,VA24948,VA24884,2017Week50Basketball
13489,VA24948,VA24879,2017Week50Basketball
12944,CA22613,CA12468,2017Week50Boys Basketball
12975,CA22613,CA22619,2017Week50Girls Basketball
13043,NC1303,NC7401,2017Week50Girls Basketball
13044,NC1303,NC1513,2017Week50Girls Basketball
13061,NC1303,NC7401,2017Week50Boys Basketball
13062,NC1303,NC1513,2017Week50Boys Basketball
13069,NC1303,NC1162,2017Week50Girls Basketball
15841,FL25551,FL5874,2017Week50Basketball
13099,CA22881,CA23015,2017Week50Basketball
13161,GA5040,GA5112,2017Week50Basketball
13141,AL1761,AL1761,2017Week50Football
13434,FL17054,FL5829,2017Week50Basketball
13429,CA22869,CA23017,2017Week50Girls Basketball
13425,CA22869,CA22917,2017Week50Girls Basketball
14198,VA7535,VA7556,2017Week50Basketball
13421,FL17054,FL17933,2017Week50Soccer
14181,VA7535,VA7531,2017Week50Basketball
19203,SC1599,no opponent ID given,2017Week50Wrestling
14337,GA23147,GA23129,2017Week50Basketball
16117,GA4911,GA5106,2017Week50Basketball
14183,GA4943,GA5151,2017Week50Basketball
14239,FL13096,FL16977,2017Week50Basketball
14240,FL13096,FL68188,2017Week50Basketball
14232,VA50032,VA25529,2017Week50Basketball
14175,GA4923,GA68064,2017Week50Basketball
16080,GA5304,no opponent ID given,2017Week50Wrestling
14166,GA4911,GA68064,2017Week50Basketball
14167,GA4911,GA10939,2017Week50Basketball
14229,VA50032,VA24933,2017Week50Basketball
14224,FL13096,FL67374,2017Week50Basketball
14265,PA6410,PA11610,2017Week50Basketball
14289,NC67497,no opponent ID given,2017Week50Wrestling 
15027,OH936,OH1854,2017Week50Basketball
15030,OH936,OH789,2017Week50Basketball
14256,PA6410,PA6456,2017Week50Basketball
14258,PA6410,PA6549,2017Week50Basketball
14677,TN8563,TN68075,2017Week50Basketball
15028,FL13098,FL16974,2017Week50Soccer
15042,GA5321,GA5129,2017Week50Basketball
14257,PA6410,PA17994,2017Week50Basketball
14283,NC67497,NC68227,2017Week50Basketball
15026,FL13098,FL13100,2017Week50Soccer
15383,GA4969,GA4918,2017Week50Basketball
14285,NC67497,no opponent ID given,2017Week50Basketball
14310,NC2177,no opponent ID given,2017Week50Basketball
17809,IN10931,IN976,2017Week50Basketball
14225,VA50032,VA24882,2017Week50Basketball
15842,CA68658,CA7989,2017Week50Basketball
15512,CA22863,WA23330,2017Week50Basketball
14322,GA4841,GA5106,2017Week50Basketball
15149,CA19002,CA7953,2017Week50Basketball
16159,FL19831,no opponent ID given,2017Week50Soccer
16078,GA5304,no opponent ID given,2017Week50Wrestling
15150,CA19002,CA18951,2017Week50Basketball
14347,GA4967,GA67145,2017Week50Basketball
14346,GA23147,SC7414,2017Week50Basketball
14359,NC1538,NC2032,2017Week50Basketball
17584,CA68755,CA12471,2017Week50Soccer
14367,FL6069,FL69156,2017Week50Basketball
15435,CA7959,CA22603,2017Week50Basketball
18004,FL777,no opponent ID given,2017Week50Weightlifting
14871,GA6111,GA13198,2017Week50Basketball
17889,FL17955,FL17943,2017Week50Soccer
17891,FL17955,no opponent ID given,2017Week50Soccer
19216,SC1599,no opponent ID given,2017Week50Basketball
14507,FL6069,NY13756,2017Week50Soccer
15520,CA22863,CA22991,2017Week50Basketball
14725,FL17050,FL5829,2017Week50Soccer
16096,CA68658,CA18774,2017Week50Basketball
16112,GA5324,GA5321,2017Week50Basketball
14520,GA4970,GA5246,2017Week50Basketball
14529,GA4970,GA4885,2017Week50Basketball
15406,CA7959,no opponent ID given,2017Week50Basketball
19217,SC1599,no opponent ID given,2017Week50Basketball
16089,CA22949,CA23057,2017Week50Basketball
14866,FL17050,FL1685,2017Week50Basketball
14856,SC1501,SC1839,2017Week50Basketball
14539,NC4313,NC7233,2017Week50Basketball
15376,GA4969,GA7408,2017Week50Basketball
14561,GA5372,GA5099,2017Week50Basketball
14569,GA5106,GA5226,2017Week50Basketball 
17620,AL1582,AL1945,2017Week50Basketball
15771,GA5314,GA4894,2017Week50Basketball
17879,FL17955,FL17957,2017Week50Soccer
14615,IN5720,no opponent ID given,2017Week50Basketball
17920,MI9915,MI9966,2017Week50Basketball
14943,GA5227,GA7450,2017Week50Wrestling 
15527,GA4986,GA12434,2017Week50Basketball
14613,NC349,NC2177,2017Week50Basketball
15371,CA19002,CA19108,2017Week50Soccer
14987,FL13098,FL13100,2017Week50Basketball
14937,GA5151,GA68047,2017Week50Basketball
17900,AZ11997,AZ12783,2017Week50Basketball
17134,CA19938,no opponent ID given,2017Week50Basketball
14971,GA5259,GA67936,2017Week50Basketball
15360,CA19002,CA18707,2017Week50Soccer
17621,AL1582,AL1096,2017Week50Basketball
16133,GA5150,GA5931,2017Week50Basketball
17622,AL1582,AL1948,2017Week50Basketball
16689,AL2218,AL1013,2017Week50Basketball
16658,GA7125,GA7049,2017Week50Basketball
16673,GA7165,GA7267,2017Week50Basketball
17636,WI50307,no opponent ID given,2017Week50Basketball
16154,FL19831,FL27326,2017Week50Soccer
19222,FL68236,no opponent ID given,2017Week50Dance Showcase
16162,FL19831,no opponent ID given,2017Week50Soccer
16168,TN8775,TN8787,2017Week50Basketball
16171,TN8775,no opponent ID given,2017Week50Basketball
16635,OH1331,IL15677,2017Week50Basketball
17464,FL19831,FL19823,2017Week50Basketball
16240,GA68064,GA6111,2017Week50Basketball
16259,GA67936,GA4879,2017Week50Basketball
16294,OH1604,OH394,2017Week50Basketball
16690,AL2218,AL253,2017Week50Basketball
16683,GA68326,GA7125,2017Week50Basketball
17858,OK21106,OK21072,2017Week50Wrestling 
16698,GA7186,GA7070,2017Week50Basketball
17133,GA12434,GA5159,2017Week50Basketball
17463,FL19831,FL19829,2017Week50Basketball
17132,CA19938,CA19917,2017Week50Basketball
17181,SC70,SC374,2017Week50Basketball
15340,OH936,OH1854,2017Week50Basketball
16296,OH1604,OH2380,2017Week50Basketball
16310,OH1604,OH1722,2017Week50Basketball
16311,OH1604,OH2410,2017Week50Basketball
16331,OH1604,OH87,2017Week50Basketball
16708,FL19831,FL19830,2017Week50Soccer
16709,FL19831,no opponent ID given,2017Week50Soccer
17206,WI50307,no opponent ID given,2017Week50Basketball
16710,FL19831,no opponent ID given,2017Week50Soccer
17652,WI50307,no opponent ID given,2017Week50Basketball
17210,WI50307,no opponent ID given,2017Week50Basketball
16351,IN67535,IN11198,2017Week50Basketball
16365,CA22564,CA22517,2017Week50Basketball
17675,WI50307,no opponent ID given,2017Week50Basketball
12585,CA23013,CA27404,2017Week50Basketball
17661,WI50307,no opponent ID given,2017Week50Basketball
17596,CA68755,CA25542,2017Week50Soccer
17662,WI50307,no opponent ID given,2017Week50Basketball
16438,CA22914,CA22991,2017Week50Basketball
16728,GA7240,GA7273,2017Week50Basketball
16444,CA22914,CA22891,2017Week50Soccer
16445,CA22914,no opponent ID given,2017Week50Basketball
16439,CA22914,no opponent ID given,2017Week50Basketball
16450,CA22914,CA22864,2017Week50Basketball
16446,CA22914,no opponent ID given,2017Week50Basketball
16447,CA22914,no opponent ID given,2017Week50Basketball
16448,CA22914,no opponent ID given,2017Week50Basketball
16449,CA22914,CA22887,2017Week50Soccer
17157,SC70,SC2480,2017Week50Basketball
16495,GA7181,GA7050,2017Week50Basketball
17597,CA68755,CA68583,2017Week50Soccer
16501,GA10410,GA5149,2017Week50Basketball
16512,GA7045,GA7165,2017Week50Basketball
16530,GA7049,GA68328,2017Week50Basketball
17585,CA68755,CA12468,2017Week50Soccer
16740,GA7255,GA7106,2017Week50Basketball
17235,WI50307,no opponent ID given,2017Week50Basketball
16576,GA7276,GA7301,2017Week50Basketball
16777,GA7299,GA68326,2017Week50Basketball
16805,GA68328,GA7240,2017Week50Basketball
16746,GA25509,GA5246,2017Week50Basketball
16793,GA7301,GA7276,2017Week50Basketball
